,recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
87,6,2,165.77,0,1,Urban,0,Web,1,0,0.0,1
88,3,2,101.61,0,1,Surburban,1,Phone,0,0,0.0,0
89,8,1,52.64,0,1,Surburban,1,Web,0,0,0.0,0
94,3,7,1973.87,1,0,Surburban,1,Multichannel,0,0,0.0,0
97,1,1,47.44,0,1,Urban,0,Phone,0,0,0.0,1
98,1,2,106.27,0,1,Surburban,0,Web,0,0,0.0,1
99,11,3,215.46,0,1,Urban,0,Web,0,0,0.0,1
100,11,2,189.25,0,1,Urban,1,Phone,0,0,0.0,0
101,10,2,108.12,1,0,Urban,0,Web,0,0,0.0,1
102,8,1,66.14,1,0,Surburban,1,Phone,0,0,0.0,0
103,8,1,98.56,1,0,Surburban,1,Web,0,0,0.0,1
104,6,2,129.14,1,0,Surburban,0,Web,0,0,0.0,1
105,2,4,493.17,0,1,Surburban,0,Web,0,0,0.0,1
107,12,1,29.99,0,1,Urban,1,Web,0,0,0.0,0
108,2,1,66.6,1,0,Urban,1,Phone,0,0,0.0,1
109,12,2,129.73,1,0,Surburban,0,Web,0,0,0.0,1
110,4,1,54.41,0,1,Urban,1,Phone,0,0,0.0,1
113,2,3,287.04,1,1,Urban,1,Phone,0,0,0.0,1
114,4,1,29.99,0,1,Urban,1,Web,0,0,0.0,1
115,9,2,151.01,1,0,Surburban,0,Web,0,0,0.0,0
117,5,1,84.17,1,0,Urban,1,Web,0,0,0.0,1
118,3,3,313.6,0,1,Surburban,0,Phone,0,0,0.0,0
120,5,1,29.99,0,1,Surburban,0,Web,0,0,0.0,0
121,3,7,1167.93,1,1,Rural,1,Web,0,0,0.0,1
122,3,5,683.2,1,1,Rural,1,Multichannel,0,0,0.0,0
124,1,2,102.94,1,0,Urban,0,Web,0,0,0.0,1
127,1,4,418.68,0,1,Surburban,0,Web,0,0,0.0,0
129,12,3,253.06,0,1,Surburban,0,Phone,0,0,0.0,1
130,9,3,329.96,0,1,Surburban,1,Phone,0,0,0.0,0
132,11,1,52.08,0,1,Urban,0,Web,0,0,0.0,1
134,9,2,123.39,1,0,Urban,0,Phone,0,0,0.0,1
135,3,3,249.71,1,0,Surburban,0,Phone,0,0,0.0,0
136,2,1,46.09,0,1,Urban,0,Web,0,0,0.0,0
138,10,1,77.37,1,0,Surburban,0,Phone,0,0,0.0,1
139,4,3,270.24,1,0,Urban,1,Phone,0,0,0.0,0
141,3,1,80.18,0,1,Urban,0,Phone,0,0,0.0,1
142,11,2,131.76,0,1,Surburban,1,Web,1,0,0.0,1
146,3,1,29.99,0,1,Urban,0,Web,0,0,0.0,1
147,7,1,59.96,1,0,Urban,1,Web,0,0,0.0,1
148,7,1,78.49,0,1,Rural,0,Web,0,0,0.0,1
150,7,3,206.8,1,0,Surburban,0,Phone,0,0,0.0,1
152,1,4,439.93,1,1,Rural,1,Multichannel,0,0,0.0,0
153,10,3,313.67,1,0,Rural,1,Phone,1,0,0.0,1
154,7,1,29.99,1,0,Surburban,1,Web,0,0,0.0,1
155,3,1,57.33,0,1,Surburban,0,Web,1,0,0.0,1
156,2,3,289.55,0,1,Rural,0,Phone,1,0,0.0,0
158,9,3,274.29,1,0,Surburban,0,Web,0,0,0.0,0
159,1,3,293.37,1,0,Surburban,0,Phone,0,0,0.0,0
160,12,1,29.99,1,0,Urban,1,Phone,0,0,0.0,0
161,1,4,407.09,1,0,Surburban,0,Web,0,0,0.0,0
162,1,2,142.4,0,1,Surburban,0,Phone,0,0,0.0,0
165,2,1,60.2,0,1,Surburban,1,Web,0,0,0.0,0
167,7,1,29.99,1,0,Surburban,1,Web,0,0,0.0,1
168,1,5,747.31,0,1,Rural,1,Web,0,0,0.0,1
169,6,2,136.63,1,0,Urban,1,Web,0,0,0.0,1
170,10,1,29.99,1,0,Rural,1,Web,0,0,0.0,1
171,11,1,54.11,1,0,Urban,1,Web,0,0,0.0,1
173,4,1,36.49,1,0,Urban,1,Web,0,0,0.0,0
175,5,4,399.46,1,0,Surburban,0,Web,0,0,0.0,1
177,10,2,153.58,1,0,Surburban,0,Phone,0,0,0.0,1
179,2,1,29.99,1,0,Urban,1,Web,0,0,0.0,1
180,4,3,292.61,1,0,Surburban,0,Multichannel,0,0,0.0,0
181,2,5,576.02,0,1,Surburban,1,Web,0,0,0.0,1
182,6,1,29.99,1,0,Surburban,0,Web,0,0,0.0,0
184,5,1,29.99,1,0,Surburban,0,Web,0,0,0.0,0
185,3,1,29.99,0,1,Urban,1,Web,0,0,0.0,0
186,7,6,968.65,1,1,Surburban,1,Web,0,0,0.0,1
188,9,3,311.81,1,0,Urban,0,Multichannel,1,0,0.0,1
191,12,1,80.56,1,0,Urban,0,Web,0,0,0.0,1
192,1,3,301.19,1,0,Surburban,1,Web,0,0,0.0,0
195,10,1,29.99,0,1,Surburban,0,Web,0,0,0.0,0
196,1,6,895.43,0,1,Surburban,1,Web,0,0,0.0,1
198,10,1,36.28,1,0,Urban,1,Web,0,0,0.0,0
199,4,4,413.46,0,1,Rural,0,Phone,0,0,0.0,1
200,7,1,32.42,1,0,Surburban,0,Phone,0,0,0.0,0
201,10,2,170.32,1,0,Urban,1,Phone,0,0,0.0,1
202,1,2,150.93,1,0,Surburban,0,Web,0,0,0.0,0
203,11,3,223.39,1,0,Rural,1,Phone,0,0,0.0,1
204,1,5,506.51,1,0,Urban,1,Multichannel,0,0,0.0,0
206,3,1,29.99,0,1,Surburban,0,Web,1,0,0.0,1
207,2,2,145.76,0,1,Surburban,1,Web,1,0,0.0,0
208,1,1,29.99,1,0,Rural,1,Phone,0,0,0.0,1
209,8,4,428.0,1,0,Surburban,1,Multichannel,0,0,0.0,0
210,6,5,604.39,1,1,Urban,1,Phone,0,0,0.0,0
211,8,2,171.88,1,0,Surburban,0,Phone,0,0,0.0,0
212,4,4,370.86,0,1,Surburban,0,Multichannel,0,0,0.0,1
213,8,2,138.62,0,1,Urban,1,Web,0,0,0.0,1
215,1,3,209.98,1,0,Surburban,0,Web,1,0,0.0,0
216,3,2,166.0,0,1,Urban,0,Web,0,0,0.0,0
217,10,1,88.37,0,1,Urban,0,Phone,1,1,29.99,1
219,1,1,60.71,0,1,Rural,1,Phone,0,0,0.0,1
220,4,4,356.73,0,1,Surburban,0,Web,0,0,0.0,0
223,6,3,277.81,1,0,Surburban,1,Multichannel,0,0,0.0,0
225,2,2,112.13,1,0,Urban,1,Web,0,0,0.0,1
226,5,1,29.99,0,1,Rural,1,Web,0,0,0.0,0
227,5,4,439.26,1,0,Surburban,0,Multichannel,0,0,0.0,1
228,8,1,64.16,0,1,Surburban,0,Web,0,0,0.0,1
229,5,1,29.99,0,1,Surburban,0,Web,1,0,0.0,0
231,2,5,591.95,0,1,Urban,1,Multichannel,0,0,0.0,1
232,8,2,130.31,1,0,Surburban,1,Phone,0,0,0.0,0
234,10,2,132.46,1,0,Urban,0,Phone,0,0,0.0,1
235,4,3,225.89,1,1,Rural,1,Web,0,0,0.0,1
236,2,2,115.56,0,1,Surburban,1,Web,0,0,0.0,0
237,8,2,104.94,0,1,Urban,0,Phone,0,0,0.0,0
239,10,1,47.47,0,1,Surburban,0,Phone,0,0,0.0,1
240,1,3,215.08,0,1,Surburban,0,Web,1,0,0.0,1
241,2,3,224.89,1,1,Urban,0,Multichannel,0,0,0.0,0
242,9,3,201.75,1,1,Surburban,0,Phone,0,0,0.0,1
244,10,2,151.43,1,0,Urban,0,Web,0,0,0.0,0
246,5,2,159.41,0,1,Surburban,1,Phone,1,0,0.0,1
247,5,3,290.86,1,0,Urban,1,Web,0,0,0.0,0
248,4,1,87.2,0,1,Surburban,1,Phone,1,0,0.0,1
252,4,6,770.38,0,1,Rural,1,Multichannel,0,0,0.0,0
255,2,7,1093.92,1,1,Surburban,1,Web,0,0,0.0,0
256,1,6,752.8,1,1,Urban,1,Phone,0,0,0.0,0
257,2,2,199.95,1,0,Surburban,1,Phone,0,0,0.0,0
258,9,3,239.91,0,1,Rural,0,Phone,0,0,0.0,0
259,8,1,43.16,0,1,Urban,1,Phone,0,0,0.0,0
260,2,4,418.81,0,1,Surburban,0,Multichannel,0,0,0.0,0
261,9,3,318.52,0,1,Urban,0,Web,0,0,0.0,1
262,1,2,109.26,0,1,Surburban,1,Web,1,0,0.0,1
264,9,2,135.02,1,0,Surburban,1,Web,0,0,0.0,1
266,3,1,55.34,1,0,Surburban,1,Phone,0,0,0.0,1
267,4,3,297.8,1,1,Urban,0,Phone,1,1,264.66,1
268,4,2,146.49,0,1,Surburban,0,Phone,0,0,0.0,1
271,4,3,249.61,0,1,Urban,1,Phone,0,0,0.0,1
273,1,3,307.58,1,0,Surburban,0,Multichannel,0,0,0.0,0
275,6,4,464.17,0,1,Surburban,0,Multichannel,0,0,0.0,1
276,6,1,29.99,1,0,Surburban,1,Web,0,0,0.0,1
277,2,4,435.33,0,1,Surburban,0,Web,0,0,0.0,1
281,5,2,180.28,0,1,Surburban,0,Phone,0,0,0.0,1
283,2,4,350.48,1,0,Urban,1,Web,0,0,0.0,1
284,3,4,376.14,1,0,Surburban,0,Phone,0,0,0.0,0
286,6,2,164.51,1,0,Surburban,0,Phone,1,0,0.0,1
288,11,1,29.99,0,1,Surburban,0,Web,0,0,0.0,1
289,2,4,407.64,0,1,Urban,1,Web,0,0,0.0,1
290,1,2,143.0,0,1,Urban,0,Phone,0,0,0.0,1
293,10,1,35.84,1,0,Urban,1,Phone,0,0,0.0,0
294,3,2,190.66,0,1,Surburban,1,Web,0,0,0.0,1
296,5,3,215.03,0,1,Urban,1,Web,0,0,0.0,0
297,1,6,856.4,0,1,Urban,1,Web,0,0,0.0,0
299,10,3,245.09,1,0,Urban,0,Multichannel,0,0,0.0,0
300,6,2,127.2,0,1,Surburban,0,Phone,0,0,0.0,0
303,3,3,327.1,1,0,Surburban,1,Web,0,0,0.0,0
305,3,1,29.99,1,0,Urban,0,Phone,0,0,0.0,0
306,6,4,398.03,1,1,Surburban,0,Phone,0,0,0.0,0
309,7,1,29.99,1,0,Surburban,0,Web,0,0,0.0,0
311,10,3,335.77,0,1,Rural,0,Multichannel,0,0,0.0,1
312,12,4,465.37,0,1,Rural,1,Multichannel,0,0,0.0,0
313,12,1,75.26,1,0,Urban,1,Phone,0,0,0.0,1
314,10,3,327.18,0,1,Urban,0,Phone,0,0,0.0,1
315,1,2,188.89,0,1,Surburban,1,Web,0,0,0.0,0
317,7,5,688.51,1,1,Rural,1,Multichannel,0,0,0.0,1
318,3,3,229.42,0,1,Rural,0,Multichannel,0,0,0.0,0
321,2,2,196.93,0,1,Rural,1,Web,0,0,0.0,1
322,4,5,557.47,1,0,Urban,1,Web,0,0,0.0,0
323,12,2,177.66,1,0,Surburban,0,Phone,1,0,0.0,1
324,9,1,29.99,0,1,Surburban,0,Phone,0,0,0.0,1
326,10,2,168.04,1,0,Urban,0,Web,0,0,0.0,0
327,5,2,173.65,1,0,Urban,0,Web,0,0,0.0,1
328,4,2,164.7,1,0,Surburban,0,Phone,0,0,0.0,0
329,2,1,57.53,1,0,Urban,1,Phone,0,0,0.0,0
330,10,1,29.99,1,0,Urban,0,Web,0,0,0.0,1
332,10,1,29.99,0,1,Surburban,0,Web,1,1,149.28,0
334,4,1,63.22,1,0,Surburban,0,Web,0,0,0.0,1
335,4,5,550.59,1,0,Surburban,1,Web,0,0,0.0,0
337,11,1,91.23,1,0,Urban,0,Web,0,0,0.0,1
338,2,5,571.53,1,0,Rural,1,Multichannel,0,0,0.0,1
339,1,2,169.31,0,1,Rural,1,Web,0,0,0.0,1
340,10,3,205.88,1,0,Urban,0,Phone,0,0,0.0,0
342,3,1,29.99,1,0,Urban,0,Web,1,0,0.0,0
344,7,4,424.6,0,1,Surburban,1,Phone,0,0,0.0,1
347,2,4,373.14,0,1,Urban,0,Multichannel,1,0,0.0,1
349,1,1,68.5,0,1,Urban,0,Phone,0,0,0.0,0
350,11,1,37.45,0,1,Urban,0,Phone,0,0,0.0,0
351,2,1,38.34,1,0,Urban,0,Web,0,0,0.0,1
352,5,5,545.73,1,0,Surburban,1,Multichannel,0,0,0.0,1
353,4,1,70.39,0,1,Surburban,1,Web,0,0,0.0,0
355,9,1,29.99,1,0,Urban,0,Web,0,0,0.0,1
357,4,1,29.99,1,0,Urban,0,Phone,0,0,0.0,1
358,6,2,136.26,0,1,Rural,1,Web,0,0,0.0,0
359,2,6,936.63,1,0,Urban,1,Phone,0,0,0.0,1
361,2,3,203.52,1,1,Urban,1,Multichannel,1,0,0.0,0
362,1,4,422.81,0,1,Urban,0,Phone,1,0,0.0,1
363,10,3,320.11,0,1,Rural,0,Web,0,0,0.0,0
364,12,1,29.99,0,1,Surburban,0,Phone,0,0,0.0,1
366,11,2,164.9,0,1,Surburban,0,Phone,0,0,0.0,1
367,11,3,265.39,0,1,Surburban,0,Multichannel,0,0,0.0,1
368,9,5,744.22,1,0,Rural,1,Web,0,0,0.0,0
369,3,1,99.25,1,0,Surburban,1,Phone,0,0,0.0,0
370,5,1,62.49,1,0,Rural,0,Web,0,0,0.0,0
372,10,3,333.65,0,1,Surburban,0,Web,0,0,0.0,0
373,7,3,340.18,0,1,Urban,0,Phone,0,0,0.0,0
374,4,3,300.58,0,1,Surburban,1,Web,0,0,0.0,1
376,10,4,357.28,0,1,Surburban,0,Web,0,0,0.0,1
377,5,3,283.55,1,0,Urban,1,Phone,0,0,0.0,0
378,9,1,48.93,1,0,Rural,1,Phone,0,0,0.0,1
383,7,3,233.4,1,1,Urban,0,Multichannel,0,0,0.0,0
384,2,2,189.67,1,0,Rural,1,Web,0,0,0.0,1
385,1,7,1524.15,1,0,Rural,1,Web,0,0,0.0,0
386,5,5,544.43,0,1,Urban,1,Web,0,0,0.0,1
387,8,1,60.69,1,0,Urban,1,Phone,0,0,0.0,1
389,4,4,410.86,0,1,Urban,0,Web,0,0,0.0,0
392,3,5,584.63,1,1,Surburban,1,Web,0,0,0.0,0
394,3,7,1570.59,1,1,Urban,1,Web,0,0,0.0,1
395,5,2,119.47,1,0,Surburban,0,Phone,0,0,0.0,0
396,7,1,68.86,0,1,Surburban,0,Phone,0,0,0.0,0
398,9,2,165.62,0,1,Urban,0,Web,0,0,0.0,0
399,1,5,686.08,1,1,Urban,1,Web,0,0,0.0,0
400,3,3,263.07,0,1,Surburban,0,Web,0,0,0.0,1
401,5,5,568.26,0,1,Surburban,1,Multichannel,0,0,0.0,1
402,7,2,145.89,0,1,Urban,0,Phone,0,0,0.0,0
403,2,2,190.4,0,1,Rural,1,Web,1,0,0.0,1
404,5,6,964.59,0,1,Surburban,1,Phone,0,0,0.0,0
405,10,2,158.55,0,1,Surburban,0,Phone,0,0,0.0,1
407,7,1,93.33,1,0,Urban,0,Web,0,0,0.0,0
408,9,2,157.76,1,0,Urban,0,Phone,0,0,0.0,1
409,2,6,762.0,1,0,Surburban,1,Web,0,0,0.0,1
410,5,1,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
411,2,3,235.19,1,0,Urban,1,Multichannel,0,0,0.0,1
412,5,1,42.3,0,1,Urban,0,Phone,0,0,0.0,0
414,7,3,291.88,1,0,Urban,0,Multichannel,0,0,0.0,0
415,3,1,80.51,1,0,Surburban,1,Web,0,0,0.0,1
416,2,3,224.69,1,1,Urban,0,Web,0,0,0.0,1
418,4,5,553.42,1,0,Rural,1,Web,1,0,0.0,1
419,1,3,219.3,0,1,Surburban,0,Phone,0,0,0.0,1
420,1,3,200.26,1,0,Surburban,0,Multichannel,0,0,0.0,0
422,8,1,29.99,0,1,Urban,1,Phone,0,0,0.0,1
423,9,1,51.53,1,0,Surburban,1,Phone,0,0,0.0,0
425,9,1,34.75,1,0,Urban,1,Web,0,0,0.0,0
426,8,4,402.84,1,0,Surburban,0,Phone,0,0,0.0,0
427,1,3,276.21,1,0,Surburban,0,Phone,0,0,0.0,0
428,1,6,960.02,1,1,Rural,1,Web,1,0,0.0,0
429,1,2,100.92,0,1,Urban,1,Web,0,0,0.0,0
430,7,6,770.87,1,1,Urban,1,Phone,0,0,0.0,1
431,7,1,63.95,1,0,Urban,1,Phone,0,0,0.0,1
434,3,3,216.08,0,1,Urban,0,Phone,0,0,0.0,0
435,3,3,211.88,1,1,Surburban,0,Web,0,0,0.0,1
437,11,2,189.23,1,0,Surburban,0,Web,0,0,0.0,1
438,10,2,149.31,0,1,Rural,1,Phone,0,0,0.0,1
442,7,3,287.73,1,1,Urban,0,Web,1,0,0.0,0
443,4,1,29.99,0,1,Urban,1,Phone,0,0,0.0,0
444,12,1,98.17,0,1,Surburban,1,Web,0,0,0.0,0
445,3,3,297.33,0,1,Urban,0,Phone,0,0,0.0,1
448,4,1,93.36,1,0,Surburban,1,Phone,0,0,0.0,0
449,2,5,542.34,0,1,Urban,1,Phone,0,0,0.0,0
450,9,1,44.68,1,0,Urban,0,Phone,0,0,0.0,0
451,6,3,265.61,0,1,Surburban,1,Multichannel,1,1,42.66,1
452,4,2,184.47,1,0,Rural,0,Phone,0,0,0.0,1
453,8,1,69.67,1,0,Rural,1,Web,0,0,0.0,1
454,2,2,188.03,1,0,Urban,1,Phone,0,0,0.0,0
455,1,7,1873.15,0,1,Urban,1,Phone,0,0,0.0,1
456,1,2,132.46,1,0,Urban,0,Phone,0,0,0.0,0
457,8,2,167.05,0,1,Urban,0,Phone,0,0,0.0,0
458,3,2,179.31,0,1,Urban,0,Web,0,0,0.0,0
459,1,2,101.99,0,1,Surburban,0,Web,1,1,29.99,1
460,1,3,290.03,1,1,Urban,0,Web,1,0,0.0,0
462,4,1,29.99,0,1,Surburban,1,Web,0,0,0.0,1
463,2,6,851.45,1,1,Rural,1,Web,1,0,0.0,0
464,1,3,248.43,1,0,Surburban,1,Phone,0,0,0.0,0
465,3,2,141.2,0,1,Surburban,1,Phone,0,0,0.0,0
466,9,1,69.9,1,0,Surburban,1,Web,0,0,0.0,1
467,7,1,29.99,1,0,Urban,0,Web,0,0,0.0,0
468,6,2,113.6,1,0,Surburban,1,Phone,0,0,0.0,0
469,10,1,29.99,0,1,Urban,0,Web,0,0,0.0,1
471,3,1,73.99,0,1,Surburban,0,Phone,0,0,0.0,0
472,1,1,79.5,0,1,Surburban,0,Web,0,0,0.0,0
473,12,2,103.6,1,0,Rural,0,Phone,0,0,0.0,0
474,1,2,137.29,0,1,Urban,0,Phone,0,0,0.0,0
475,8,1,34.8,0,1,Surburban,1,Phone,0,0,0.0,1
476,6,2,114.74,1,0,Urban,0,Web,1,0,0.0,0
477,8,3,244.94,1,0,Surburban,0,Phone,0,0,0.0,1
478,1,4,452.72,0,1,Rural,0,Web,0,0,0.0,1
481,8,1,45.78,1,0,Surburban,0,Phone,0,0,0.0,0
482,6,4,358.77,0,1,Surburban,0,Web,0,0,0.0,0
483,5,2,141.74,1,0,Surburban,0,Web,0,0,0.0,0
486,9,1,64.09,1,0,Surburban,0,Phone,0,0,0.0,1
487,4,2,162.56,0,1,Urban,1,Phone,0,0,0.0,1
489,6,1,64.33,1,0,Rural,0,Web,1,0,0.0,0
490,11,2,143.65,0,1,Urban,1,Phone,0,0,0.0,1
493,4,2,121.87,1,0,Rural,0,Web,0,0,0.0,0
496,4,5,614.83,1,0,Urban,1,Multichannel,0,0,0.0,0
497,5,2,103.44,0,1,Rural,1,Web,1,0,0.0,1
499,4,3,224.04,1,0,Urban,0,Web,0,0,0.0,0
500,3,1,80.65,0,1,Surburban,1,Web,1,0,0.0,1
502,9,1,33.63,0,1,Rural,0,Phone,0,0,0.0,0
503,6,5,528.03,1,1,Urban,1,Multichannel,0,0,0.0,1
504,10,1,29.99,1,0,Surburban,0,Web,0,0,0.0,1
505,2,2,109.81,1,0,Urban,1,Web,1,0,0.0,0
506,10,5,507.15,0,1,Rural,1,Web,0,0,0.0,1
507,10,2,161.43,0,1,Surburban,1,Web,1,0,0.0,0
509,1,5,567.13,0,1,Rural,1,Phone,0,0,0.0,1
511,9,2,198.54,0,1,Urban,0,Phone,0,0,0.0,0
512,11,3,301.0,1,1,Surburban,1,Web,0,0,0.0,0
514,10,2,131.95,0,1,Surburban,0,Phone,1,0,0.0,0
515,6,2,179.51,0,1,Urban,0,Phone,0,0,0.0,1
516,10,4,375.34,1,0,Rural,0,Web,0,0,0.0,0
517,8,1,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
518,1,3,286.31,1,1,Surburban,0,Web,0,0,0.0,0
519,7,5,600.13,1,1,Urban,1,Phone,0,0,0.0,0
520,6,2,107.42,0,1,Urban,1,Web,0,0,0.0,0
521,1,7,1515.82,1,1,Surburban,1,Multichannel,1,1,499.0,1
522,2,2,102.99,0,1,Surburban,0,Phone,0,0,0.0,0
523,10,3,317.16,1,0,Urban,0,Web,0,0,0.0,1
524,7,3,297.6,1,0,Surburban,0,Web,0,0,0.0,0
525,10,5,599.06,0,1,Urban,1,Web,0,0,0.0,1
526,10,1,29.99,1,0,Urban,0,Web,0,0,0.0,1
527,1,6,783.8,1,1,Surburban,1,Web,0,0,0.0,0
529,8,2,155.75,0,1,Urban,1,Phone,0,0,0.0,0
530,11,1,29.99,1,0,Surburban,1,Phone,0,0,0.0,1
531,5,1,47.98,0,1,Urban,0,Web,0,0,0.0,1
533,11,5,504.86,1,0,Rural,1,Multichannel,0,0,0.0,1
534,1,6,904.58,0,1,Surburban,1,Phone,1,0,0.0,1
535,11,3,312.41,1,0,Urban,1,Web,0,0,0.0,1
536,9,4,404.03,1,1,Urban,0,Multichannel,0,0,0.0,0
537,7,3,251.05,1,0,Surburban,0,Multichannel,1,0,0.0,1
538,1,1,30.01,0,1,Urban,1,Web,0,0,0.0,1
539,1,2,155.65,1,0,Urban,0,Web,0,0,0.0,0
541,12,1,49.27,1,0,Urban,1,Phone,0,0,0.0,1
544,1,4,357.56,0,1,Surburban,0,Phone,0,0,0.0,0
549,1,5,615.04,1,1,Surburban,1,Phone,0,0,0.0,0
551,9,1,40.16,1,0,Urban,1,Phone,0,0,0.0,1
552,4,2,127.51,1,0,Urban,1,Web,0,0,0.0,0
553,8,1,60.9,0,1,Rural,1,Phone,0,0,0.0,0
554,1,3,234.17,1,0,Rural,1,Phone,0,0,0.0,0
556,11,2,112.61,0,1,Urban,0,Web,0,0,0.0,0
557,5,2,168.1,1,0,Surburban,0,Web,0,0,0.0,0
558,1,5,745.63,1,1,Urban,1,Multichannel,0,0,0.0,1
559,6,1,29.99,0,1,Surburban,0,Web,0,0,0.0,1
560,5,1,37.79,0,1,Surburban,0,Web,0,0,0.0,0
561,8,6,772.55,1,0,Surburban,1,Web,0,0,0.0,1
562,4,1,70.16,0,1,Surburban,0,Web,0,0,0.0,0
563,7,2,115.07,0,1,Surburban,0,Phone,0,0,0.0,1
564,3,3,248.26,0,1,Surburban,1,Multichannel,0,0,0.0,1
566,1,5,585.14,1,0,Surburban,1,Multichannel,0,0,0.0,1
570,1,2,111.37,0,1,Surburban,1,Web,0,0,0.0,0
571,7,1,29.99,0,1,Urban,0,Phone,0,0,0.0,0
573,2,1,46.47,0,1,Surburban,1,Web,0,0,0.0,0
574,11,3,297.25,0,1,Urban,1,Phone,0,0,0.0,1
575,9,2,129.29,0,1,Urban,1,Web,0,0,0.0,0
576,5,2,150.06,1,0,Rural,1,Web,0,0,0.0,1
579,2,5,531.69,0,1,Urban,1,Phone,0,0,0.0,1
580,10,2,113.33,0,1,Urban,0,Web,0,0,0.0,0
583,6,7,1292.1,1,0,Surburban,1,Web,0,0,0.0,1
584,11,3,272.89,1,0,Surburban,1,Web,0,0,0.0,1
585,4,3,302.86,0,1,Surburban,1,Phone,0,0,0.0,1
589,9,1,76.72,1,0,Surburban,0,Phone,0,0,0.0,0
594,3,4,367.27,0,1,Surburban,1,Phone,0,0,0.0,0
595,8,1,29.99,1,0,Urban,1,Web,0,0,0.0,0
597,10,2,189.02,0,1,Rural,1,Phone,0,0,0.0,1
599,4,1,85.64,1,0,Surburban,1,Web,0,0,0.0,1
601,8,3,346.57,1,0,Urban,1,Web,0,0,0.0,0
602,7,5,729.01,0,1,Rural,1,Phone,0,0,0.0,0
605,5,7,1079.62,1,1,Surburban,1,Web,1,1,29.99,0
606,10,1,29.99,1,0,Surburban,1,Web,0,0,0.0,0
